@CENSUS,Object,Copy Number,node_k,complexity,Complexity
xs10_178kk8,xs10_178kk8,70,5,18.0,18.0
xs10_358gkc,xs10_358gkc,14,5,18.0,18.0
xs10_35ako,xs10_35ako,135,5,18.0,18.0
xs10_4al96,xs10_4al96,17,5,15.0,15.0
xs10_69ar,xs10_69ar,4,5,12.0,12.0
xs10_g8ka52z01,xs10_g8ka52z01,45,5,13.0,13.0
xs10_g8o652z01,xs10_g8o652z01,117,5,14.0,14.0
xs11_178b52,xs11_178b52,4,5,13.0,13.0
xs11_178kic,xs11_178kic,28,5,19.0,19.0
xs11_69lic,xs11_69lic,36,5,15.0,15.0
xs11_g0s253z11,xs11_g0s253z11,5,5,14.0,14.0
xs11_g8ka52z11,xs11_g8ka52z11,54,5,14.0,14.0
xs11_g8o652z11,xs11_g8o652z11,103,5,15.0,15.0
xs11_ggm952z1,xs11_ggm952z1,1,5,14.0,14.0
xs12_0g8ka52z121,xs12_0g8ka52z121,4,5,13.0,13.0
xs12_0g8o652z121,xs12_0g8o652z121,28,5,15.0,15.0
xs12_0ggm96z32,xs12_0ggm96z32,4,5,15.0,15.0
xs12_2egm96,xs12_2egm96,4,5,17.0,17.0
xs12_330f96,xs12_330f96,16,5,11.0,11.0
xs12_g4q552z11,xs12_g4q552z11,23,5,15.0,15.0
xs12_g8ka53z11,xs12_g8ka53z11,51,5,14.0,14.0
xs12_g8o653z11,xs12_g8o653z11,1986,5,14.0,14.0
xs12_o4q552z01,xs12_o4q552z01,22,5,13.0,13.0
xs12_raar,xs12_raar,11,5,12.0,12.0
xs13_0g8ka52z321,xs13_0g8ka52z321,25,5,13.0,13.0
xs13_0g8o652z321,xs13_0g8o652z321,34,5,14.0,14.0
xs13_0g8o653z121,xs13_0g8o653z121,35,5,15.0,15.0
xs13_2530f96,xs13_2530f96,11,5,14.0,14.0
xs13_2560uic,xs13_2560uic,13,5,17.0,17.0
xs13_g88m96z121,xs13_g88m96z121,41,5,15.0,15.0
xs13_g8ge96z121,xs13_g8ge96z121,28,5,16.0,16.0
xs14_0g8ka53z321,xs14_0g8ka53z321,18,5,13.0,13.0
xs14_0g8o653z321,xs14_0g8o653z321,34,5,14.0,14.0
xs14_3560uic,xs14_3560uic,6,5,17.0,17.0
xs14_39e0eic,xs14_39e0eic,2,5,16.0,16.0
xs14_6530f96,xs14_6530f96,10,5,14.0,14.0
xs14_6960uic,xs14_6960uic,21,5,17.0,17.0
xs14_69bqic,xs14_69bqic,60,5,21.0,21.0
xs14_69f0f9,xs14_69f0f9,2,5,12.0,12.0
xs14_g84q552z121,xs14_g84q552z121,8,5,17.0,17.0
xs14_g88b96z123,xs14_g88b96z123,27,5,19.0,19.0
xs14_g88m552z121,xs14_g88m552z121,1,5,16.0,16.0
xs14_g88m952z121,xs14_g88m952z121,597,5,16.0,16.0
xs14_g88q552z121,xs14_g88q552z121,18,5,17.0,17.0
xs14_g8id96z121,xs14_g8id96z121,16,5,16.0,16.0
xs14_g8o69a4z121,xs14_g8o69a4z121,9,5,17.0,17.0
xs14_j1u066z11,xs14_j1u066z11,18,5,17.0,17.0
xs14_wg8ka52z2521,xs14_wg8ka52z2521,1,5,15.0,15.0
xs14_xoka52z253,xs14_xoka52z253,17,5,17.0,17.0
xs15_0g0si96z343,xs15_0g0si96z343,15,5,19.0,19.0
xs15_0g8ka96z3421,xs15_0g8ka96z3421,7,5,16.0,16.0
xs15_0ggca96z3421,xs15_0ggca96z3421,17,5,16.0,16.0
xs15_0ggci96z343,xs15_0ggci96z343,10,5,20.0,20.0
xs15_25960uic,xs15_25960uic,3,5,17.0,17.0
xs15_354cgc453,xs15_354cgc453,4,6,18.0,18.0
xs15_3lk453z121,xs15_3lk453z121,12,5,17.0,17.0
xs15_4a960uic,xs15_4a960uic,5,5,17.0,17.0
xs15_g8o6996z121,xs15_g8o6996z121,16,5,18.0,18.0
xs15_j1u06a4z11,xs15_j1u06a4z11,17,5,17.0,17.0
xs15_xoka52z653,xs15_xoka52z653,19,5,18.0,18.0
xs15_xoka53z253,xs15_xoka53z253,5,5,18.0,18.0
xs16_0g8ka952z3421,xs16_0g8ka952z3421,1,5,15.0,15.0
xs16_0ggca96z3443,xs16_0ggca96z3443,4,5,16.0,16.0
xs16_25akozy135a4,xs16_25akozy135a4,1,6,18.0,18.0
xs16_3lk453z321,xs16_3lk453z321,4,5,17.0,17.0
xs16_69960uic,xs16_69960uic,3,5,17.0,17.0
xs16_69egmiczx1,xs16_69egmiczx1,1,5,21.0,21.0
xs16_69p64k8zw121,xs16_69p64k8zw121,4,5,19.0,19.0
xs16_g88m996z1221,xs16_g88m996z1221,73,5,19.0,19.0
xs16_j1u0696z11,xs16_j1u0696z11,10,5,17.0,17.0
xs16_j1u06acz11,xs16_j1u06acz11,5,5,17.0,17.0
xs16_j1u0uiz11,xs16_j1u0uiz11,5,5,20.0,20.0
xs16_wg0si96z2543,xs16_wg0si96z2543,5,5,15.0,15.0
xs16_xoka53z653,xs16_xoka53z653,13,5,19.0,19.0
xs17_03lk453z2521,xs17_03lk453z2521,5,5,18.0,18.0
xs17_0g8o6996z3421,xs17_0g8o6996z3421,5,5,15.0,15.0
xs17_25akozy135ac,xs17_25akozy135ac,1,6,23.0,23.0
xs17_31e88gzc8711,xs17_31e88gzc8711,3,6,19.0,19.0
xs17_35akozy135a4,xs17_35akozy135a4,2,6,19.0,19.0
xs17_3lk453z1243,xs17_3lk453z1243,7,5,17.0,17.0
xs17_3lk453z3421,xs17_3lk453z3421,3,5,17.0,17.0
xs18_03lk453z6521,xs18_03lk453z6521,1,5,18.0,18.0
xs18_35akozy135ac,xs18_35akozy135ac,1,6,24.0,24.0
xs18_69is0si96,xs18_69is0si96,2,6,20.0,20.0
xs18_rhe0ehr,xs18_rhe0ehr,4,5,20.0,20.0
xs19_xo4q552z69521,xs19_xo4q552z69521,1,6,23.0,23.0
xs20_0gillmz32w643,xs20_0gillmz32w643,2,5,20.0,20.0
xs20_6a88b96z2553,xs20_6a88b96z2553,1,5,17.0,17.0
xs24_651u0uicz3543,xs24_651u0uicz3543,1,5,22.0,22.0
xs4_252,xs4_252,6804,4,10.0,10.0
xs4_33,xs4_33,245095,4,13.0,13.0
xs5_253,xs5_253,32923,4,10.0,10.0
xs6_25a4,xs6_25a4,663,4,12.0,12.0
xs6_356,xs6_356,25603,4,13.0,13.0
xs6_39c,xs6_39c,240,4,10.0,10.0
xs6_696,xs6_696,127642,4,13.0,13.0
xs6_bd,xs6_bd,242,4,7.0,7.0
xs7_178c,xs7_178c,275,4,10.0,10.0
xs7_2596,xs7_2596,34658,4,12.0,12.0
xs7_25ac,xs7_25ac,2508,4,13.0,13.0
xs8_25ak8,xs8_25ak8,215,5,13.0,13.0
xs8_312ko,xs8_312ko,83,5,17.0,17.0
xs8_35ac,xs8_35ac,275,4,13.0,13.0
xs8_3pm,xs8_3pm,112,5,12.0,12.0
xs8_6996,xs8_6996,9597,4,11.0,11.0
xs8_69ic,xs8_69ic,606,5,12.0,12.0
xs9_178ko,xs9_178ko,56,5,18.0,18.0
xs9_25ako,xs9_25ako,213,5,17.0,17.0
xs9_31ego,xs9_31ego,111,5,18.0,18.0
xs9_4aar,xs9_4aar,66,5,12.0,12.0
xs9_g0g853z11,xs9_g0g853z11,59,5,13.0,13.0
