@CENSUS,@CENSUS,TABLE
xs10_178kk8,xs10_178kk8,115
xs10_358gkc,xs10_358gkc,17
xs10_35ako,xs10_35ako,102
xs10_g0s252z11,xs10_g0s252z11,42
xs10_g8ka52z01,xs10_g8ka52z01,46
xs10_g8o652z01,xs10_g8o652z01,100
xs10_ggka52z1,xs10_ggka52z1,16
xs11_178kic,xs11_178kic,27
xs11_g0s253z11,xs11_g0s253z11,49
xs11_g0s256z11,xs11_g0s256z11,41
xs11_g0s453z11,xs11_g0s453z11,40
xs11_g8ka52z11,xs11_g8ka52z11,82
xs11_g8o652z11,xs11_g8o652z11,101
xs11_ggka53z1,xs11_ggka53z1,33
xs11_ggm952z1,xs11_ggm952z1,63
xs12_0g8ka52z121,xs12_0g8ka52z121,29
xs12_0g8o652z121,xs12_0g8o652z121,21
xs12_0ggka52z32,xs12_0ggka52z32,6
xs12_0ggm96z32,xs12_0ggm96z32,48
xs12_69iczx113,xs12_69iczx113,25
xs12_g4q552z11,xs12_g4q552z11,3
xs12_g8ka53z11,xs12_g8ka53z11,50
xs12_g8o653z11,xs12_g8o653z11,1863
xs12_o4q552z01,xs12_o4q552z01,41
xs12_raar,xs12_raar,27
xs13_0g8ka52z321,xs13_0g8ka52z321,39
xs13_0g8o652z321,xs13_0g8o652z321,25
xs13_0g8o653z121,xs13_0g8o653z121,35
xs13_0ggka53z32,xs13_0ggka53z32,1
xs13_0ggm952z32,xs13_0ggm952z32,4
xs13_0gil96z32,xs13_0gil96z32,1
xs13_g88m96z121,xs13_g88m96z121,41
xs13_g8ge96z121,xs13_g8ge96z121,19
xs14_0g8ka53z321,xs14_0g8ka53z321,25
xs14_0g8o653z321,xs14_0g8o653z321,21
xs14_6970796,xs14_6970796,14
xs14_69bqic,xs14_69bqic,52
xs14_69f0f9,xs14_69f0f9,11
xs14_69iczx1156,xs14_69iczx1156,4
xs14_g84q552z121,xs14_g84q552z121,11
xs14_g88b96z123,xs14_g88b96z123,20
xs14_g88m552z121,xs14_g88m552z121,14
xs14_g88m952z121,xs14_g88m952z121,641
xs14_g88q552z121,xs14_g88q552z121,19
xs14_g8id96z121,xs14_g8id96z121,13
xs14_g8o69a4z121,xs14_g8o69a4z121,7
xs14_wg8o653z65,xs14_wg8o653z65,4
xs14_wggca52z2521,xs14_wggca52z2521,10
xs14_xoka52z253,xs14_xoka52z253,8
xs15_08o6996z321,xs15_08o6996z321,1
xs15_0g8ka96z3421,xs15_0g8ka96z3421,13
xs15_0ggca96z3421,xs15_0ggca96z3421,7
xs15_0ggci96z343,xs15_0ggci96z343,13
xs15_g8o6996z121,xs15_g8o6996z121,6
xs15_j1u06a4z11,xs15_j1u06a4z11,6
xs15_wg8ka52z6521,xs15_wg8ka52z6521,11
xs15_wggca52z6521,xs15_wggca52z6521,12
xs15_xoka53z253,xs15_xoka53z253,3
xs16_0g8ka952z3421,xs16_0g8ka952z3421,4
xs16_0ggca96z3443,xs16_0ggca96z3443,1
xs16_69egmiczx1,xs16_69egmiczx1,11
xs16_g88m996z1221,xs16_g88m996z1221,70
xs16_g88q596z1221,xs16_g88q596z1221,2
xs16_j1u0696z11,xs16_j1u0696z11,10
xs16_j1u06acz11,xs16_j1u06acz11,5
xs16_j1u0uiz11,xs16_j1u0uiz11,9
xs16_wg0si96z2543,xs16_wg0si96z2543,7
xs16_wg8ka53z6521,xs16_wg8ka53z6521,4
xs16_wggca53z6521,xs16_wggca53z6521,3
xs16_xoka53z653,xs16_xoka53z653,5
xs17_3lk453z1243,xs17_3lk453z1243,5
xs18_j1u0uicz11,xs18_j1u0uicz11,4
xs18_rhe0ehr,xs18_rhe0ehr,3
xs19_xo4q552z69521,xs19_xo4q552z69521,1
xs19_xo4q552z69701,xs19_xo4q552z69701,2
xs4_252,xs4_252,6524
xs4_33,xs4_33,239317
xs5_253,xs5_253,31931
xs6_25a4,xs6_25a4,652
xs6_356,xs6_356,24798
xs6_39c,xs6_39c,267
xs6_696,xs6_696,125764
xs6_bd,xs6_bd,260
xs7_178c,xs7_178c,251
xs7_2596,xs7_2596,33549
xs7_25ac,xs7_25ac,2445
xs7_3lo,xs7_3lo,52
xs8_178k8,xs8_178k8,57
xs8_25ak8,xs8_25ak8,203
xs8_312ko,xs8_312ko,53
xs8_35ac,xs8_35ac,255
xs8_3pm,xs8_3pm,110
xs8_6996,xs8_6996,9674
xs8_69ic,xs8_69ic,612
xs9_178kc,xs9_178kc,74
xs9_178ko,xs9_178ko,117
xs9_25ako,xs9_25ako,247
xs9_31ego,xs9_31ego,87
xs9_4aar,xs9_4aar,30
xs9_g0g853z11,xs9_g0g853z11,27
