"apgcode","occurrences"
"xp6_ccb7w66z066","2163542"
"xp6_w8o0uh224a4z32","230"
"xp6_318c0fh884a4","122"
"xp6_wq52z01aq23z32","105"
"xp6_4a422hu0og26","95"
"xp6_178b988a6zwc813","24"
"xp6_6a889b8ozx318c","14"
"xp6_8e1diggkczwog26","3"
"xp6_j1u066w7bccz11y366","3"
"xp6_178b988a6z31d153","2"
"xp6_6a889b8b9iczx33032","2"
"xp6_ggcswoo0u1jz1ppy311","2"
"xp6_og2t1arz66078c","2"
"xp6_0c8b8acz65119d1e8","1"
"xp6_2c34wcczy166qswcc","1"
"xp6_31agoz32qi22ac","1"
"xp6_4a422hu0og26zy0643","1"
"xp6_6a889b8baiczx33032","1"
"xp6_6a889b8oz0c813","1"
"xp6_8k8442s0c813zxc871","1"
"xp6_c40v1og26zca43","1"
"xp6_g31u0og26z11078a6","1"
"xp6_g31u0og26z11078c","1"
"xp6_g39e0u2kgzdlgf032","1"
"xp6_gjjz1167w330f9","1"
"xp6_mkhf0ccwemooz1y5cc","1"
"xp6_wg31u062goz47011","1"
"xp6_y0318czg8o65119d1e8z01","1"
