"apgcode","occurrences"
"xs25_8e1v0rrz3543","5044495"
"xs25_660u1uge2z3543","881605"
"xs25_ml1u0ooz11078a6","499600"
"xs25_ca1v0rrz3543","100884"
"xs25_cimge9jz06a871","72143"
"xs25_g39s0s4ozdll8w1","68635"
"xs25_3jgv1eoz346221","66565"
"xs25_259arhe0ehr","60113"
"xs25_6a88bbgz6511dd","52681"
"xs25_wmlhe862sgz25421","48425"
"xs25_db0v1u8z330321","39865"
"xs25_69aczra95d96","38358"
"xs25_0c88bbgz69d1dd","35110"
"xs25_ca9lmz330fgkc","29863"
"xs25_0okimge96z4aic01","28272"
"xs25_651u0ooz1787066","26913"
"xs25_g88e1eoz1230354ko","24854"
"xs25_3lkkl3z3460696","24320"
"xs25_3lkkl3z346069c","19043"
"xs25_39e0e93z69d113","18791"
"xs25_3lkkl3z32w69ic","18754"
"xs25_3lmgmmz3460643","14663"
"xs25_cc0s2arz66079c","14354"
"xs25_xok4mgm96z6952011","13725"
"xs25_69ege2s0siczx121","11160"
"xs25_0mmgm453z1qq221","11056"
"xs25_9v0v1u8z230321","10874"
"xs25_0j5c5jz345d543","10815"
"xs25_69e0djo7pic","10452"
"xs25_0g8ka96z122dkk871","10104"
"xs25_9f0s2acz3303453","9913"
"xs25_6996z699d96zx33","9494"
"xs25_ml1u0mmz110743","8859"
"xs25_0ok2u0696zca2453","8829"
"xs25_69f0ccz6511d96","8796"
"xs25_cc0v1qb96z0643","8579"
"xs25_8o0u1raicz012543","8553"
"xs25_0iu0uhf0ccz643","8494"
"xs25_651u0u2sgzw3543","8396"
"xs25_caabo7picz33","8256"
"xs25_3lkkl3z12ege3","8049"
"xs25_ciab8brzw11dd","7810"
"xs25_ca1v0ccz3303453","7461"
"xs25_g8o0u1t6z1qq221","7446"
"xs25_3lk453z1247079c","7201"
"xs25_2lmgml2z3460643","6962"
"xs25_354kl3zra221z056","6922"
"xs25_6t1u0ooz11078a6","6694"
"xs25_g8ge996z1254312ko","6593"
"xs25_8e1t2sgz178b43","6449"
"xs25_mm0u1lmz110743","6366"
"xs25_3lmgmicz346066","6076"
"xs25_2llmzrq2qr","6056"
"xs25_mllmgmicz1w66","5981"
"xs25_0ml1e8gz12ehld","5956"
"xs25_6t1e8zwdd1d96","5624"
"xs25_09f0ccz69d1d96","5478"
"xs25_o4q23zg99m952z121","5448"
"xs25_0ggmll2z346w69ic","5442"
