"apgcode","occurrences"
"yl144_1_16_afb5f3db909e60548f086e22ee3353ac","3900330695"
"yl144_1_16_9cdca6cf6fa2778709f5c4224db518e7","70"
"yl144_1_16_eac149a430a5624cb67447c2b7f70ca7","69"
"yl144_1_32_580daec726a1a769e26066366554d6e5","25"
"yl144_1_32_3fc62bdbdee161ceac5fcdcb557907f7","7"
"yl144_1_16_5d2947d92331c69b6f2ed1094118b800","5"
"yl144_1_16_5d32c73e75523c370b0f6d749feaa126","4"
"yl144_1_32_29e42dab523425319e0ca775f9a2eff6","3"
"yl144_1_32_3fd06efa041010d778b1eceec9a00d80","3"
"yl144_1_32_b14948c9a4ebff029980a40619aa05e6","3"
"yl144_1_32_d03d0af58d6ada5da799601b24f1ec4a","3"
"yl144_1_32_e5a67263bfd42150cbb6680a0c97cbbd","3"
"yl144_1_16_8c323f2b4e6aff24bbbfceb236089869","2"
"yl144_1_32_23f349dabadfdcae212c00823fe9b1e0","2"
"yl144_1_32_3042ff39bccb1b9ce2845f600acb8dcd","2"
"yl144_1_32_54a1c82db27c03fc332b1c87fa1f6a0a","2"
"yl144_1_32_643a402141c893ea146a85487c54b7d8","2"
"yl144_1_32_669671920b0377fa60c8c9a30d44dc29","2"
"yl144_1_32_67bd453a75bdfe174bcc138c1c761b61","2"
"yl144_1_32_6a159463dc87199396a9621ff6b11749","2"
"yl144_1_32_7f91ac4a199a593ff68e9b3290bab074","2"
"yl144_1_32_982a59f7724d0446df84358aefa5f2d9","2"
"yl144_1_32_9ad244f8c10fd7ceb619247571868247","2"
"yl144_1_32_b88cc27619244de998c8ef4bec299880","2"
"yl144_1_32_c46fd0343f305693cadac1194bc5c5d3","2"
"yl144_1_32_dafbc3b65a9f2c17fb4383b47da9a850","2"
"yl144_1_32_12c9e989d7f00b57141179e12d36a8ef","1"
"yl144_1_32_15cadfb0c89958c668d8446f529d1e2b","1"
"yl144_1_32_16aafd451adce32d94df66a7ac03492a","1"
"yl144_1_32_2125860dbfa7e267fecc6fa8c38edc68","1"
"yl144_1_32_38e3aefc9afb14f52c99cb6f898f80ab","1"
"yl144_1_32_3cc5a04d9bfba1ec28e6ae438ed34a56","1"
"yl144_1_32_44768b3edd69fcf5dbd9ba025c037cda","1"
"yl144_1_32_47da28bca2dfca9113faa27c98475bc2","1"
"yl144_1_32_4d90f0f6d90e33e71564d57e211505c8","1"
"yl144_1_32_5ff17e464499e90e9198088b5b6c6e2e","1"
"yl144_1_32_6e0438e75125a5a50d89f6b82880c73b","1"
"yl144_1_32_739517c433e0d1765ca24c01565fbf3f","1"
"yl144_1_32_8607e66d80f4c02ce7d90fb2e0760cef","1"
"yl144_1_32_88cacabb344ef5871415934f1e0d59ee","1"
"yl144_1_32_98608a551ce6c6c5f9fa1857f1d54df7","1"
"yl144_1_32_9eaa65d9a70afc21406ab31a90a1c581","1"
"yl144_1_32_a3a5e52e951822e776c508a6c3e6ac49","1"
"yl144_1_32_b3589725aaed9c08206ec211e4cf36f8","1"
"yl144_1_32_bbffb668e7cd97a87be636864b5090db","1"
"yl144_1_32_c8ce5e2ee8c2863f98483cdebecdca26","1"
"yl144_1_32_cf74d23ceb02ff2fff8fff8622b5bc37","1"
"yl144_1_32_dfb46069ee07b585578575a8994fc623","1"
"yl144_1_32_e9a610d36695aa06458aa8e184f0a45e","1"
"yl144_1_32_ea364bc6924855ebe78727541ec5f08d","1"
"yl144_1_32_ea8f695450c809de651500aad4d1b57c","1"
