apgcode,occurrences
xq12_fh1i0i1hfzw8sms8zxfjf,7
xq16_gcbgzvgg826frc,264
xq4_153,413070441574404
xq4_6frc,731550265266
xq4_27dee6,191152086119
xq4_27deee6,43946990591
xq4_27dee6z4eb776,162872
xq4_27deee6z4eb7776,49005
xq4_27de6z4eb776,19121
xq4_0791h1az8smec,15325
xq4_27de6z4eb7776,14067
xq4_27du6ze98885,7359
xq4_06eed72zaghgis,4715
xq4_6ed72z6777be4,2468
xq4_27dumze988885,2405
xq4_27de6zw8smeeec,2025
xq4_27due6ze98885,1970
xq4_27de6z8smeeec,1911
xq4_27dee6zw4eb776,1766
xq4_027deee6z8smec,1672
xq4_27dee6z4eb7776,1644
xq4_677be4zx48889e,1539
xq4_06eeed72zcems8,1437
xq4_6eeed72zaghgis,883
xq4_sighgazz791hh1a,800
xq4_0791hh1az8smeec,732
xq4_6eed72zaghhgis,683
xq4_06eeed72z677be4,606
xq4_aghgiszza1hh197,555
xq4_0sighhgazz791h1a,495
xq4_06eeed72zaghgis,459
xq4_0aghhgiszza1h197,451
xq4_27dee6zx8smeeec,446
xq4_27duu6ze988885,398
xq4_27dee6zw4eb7776,382
xq4_27duee6ze98885,382
xq4_02111197zcssqe4,379
xq4_06eeed72zaghhgis,182
xq4_27deee6zw4eb7776,149
xq4_aghhgiszzwa1hh197,134
xq4_0aghhgiszza1hh197,125
xq4_27duue6ze988885,101
xq4_027deee6zsighhga,92
xq4_a1hh197zx6777be4,70
xq4_27deee6zwsighhga,68
xq4_027deee6z4eqscc6,16
xq4_6rusxfh1i0i1hfz011,1
xq4_gfvuwogwggz131y2crf7,1
xq7_3nw17862z6952,6
