apgcode,occurrences
yl1152_1_305_4de386e13f57150a2f0da7089e351663,72
yl1152_1_352_e741512e9dbc4415e12596860f4cc981,33
yl1152_1_305_6942831fa859f82fdc391799bf98c8e1,12
yl1152_1_365_c072f029759ad8382e77c063524e82cf,12
yl1152_1_284_e0f1907187b10ad8889b35de717b483c,7
yl1152_1_305_1793164f4a9190b57091508c8a824e37,7
yl1152_1_287_f928e3698fc7c8003bf9f2e8d1854ee2,5
yl1152_1_252_cec5de98a9de26d5c751aecbd375920d,4
yl1152_1_305_386c1aea47b80de527765236ac8982d0,4
yl1152_1_305_5781b0239529bf238454f73e788c20cb,4
yl1152_1_368_925345b41372561cbcdee7bfa52260ec,4
yl1152_1_275_942282a2266efbf054347ed5daaf7b83,3
yl1152_1_301_25cc373a66ddf254669dd5b279ad0ddc,3
yl1152_1_305_181705c055f3eb7851fc2439a5a3da23,3
yl1152_1_305_446988ce16540f4d28b4757050150724,3
yl1152_1_305_4ac3944d939f41df6c626bacdb4ed339,3
yl1152_1_305_4c6b2139420fa198d3121d94e662bc30,3
yl1152_1_305_5093b5604406eda26bd5fe708137c442,3
yl1152_1_305_5795153c1f2b6ae9bfe120246730d361,3
yl1152_1_305_5db424acba5d3bd3e3283c61f46724d1,3
yl1152_1_305_721337e0293c7b86d667cd665e474730,3
yl1152_1_305_9448970c0e3b8a2ea9f2676197a44b9d,3
yl1152_1_305_abfc436562e5a6a32eef3e476be300d8,3
yl1152_1_305_ae9b23338f3e2ebe9cc7ba239542f4ca,3
yl1152_1_305_b7a90a1e699cf6ef7b52f7df53391132,3
yl1152_1_365_9c8c9916414206f8edc736e0240ca9b3,3
yl1152_1_234_a2cac192cf42bd812a185e998fbf0aee,2
yl1152_1_238_12c1c07b2f908c37f0bb77291ed2b056,2
yl1152_1_265_ff73e47f66534407e1d74c4b0a83c63b,2
yl1152_1_275_34479bb702f3d28dc4f5f0714fdaa138,2
yl1152_1_280_f2789e878ccfa1f06e6dff6a68c59b75,2
yl1152_1_295_2103a05e43a695f0291519dd38322175,2
yl1152_1_305_318ce4d4b86b3ff81ee89549bfcb40ed,2
yl1152_1_305_4930e1cacbe11a58ddb180c5a68746e5,2
yl1152_1_305_4e9d6e10f0e4a32cd7e9970f0e599b7e,2
yl1152_1_305_509ef628e49b649623380be6a9d9777d,2
yl1152_1_305_99edda655a7ad774b86d964ce4270bd2,2
yl1152_1_305_9e607aa4d9786a77d21425c210b371a9,2
yl1152_1_305_a37f57e01351cae06972cc629c170b63,2
yl1152_1_305_b0bfc0f3f994b8ad771ddb3867e21493,2
yl1152_1_306_9e0a9b9d84a97410a994fdcce2a26752,2
yl1152_1_310_fef30a9ba19350e14bdf0f4a19631887,2
yl1152_1_313_5d81dc3eaf9c581f4cb6ff45ac899051,2
yl1152_1_343_b5f42430c0281bf9161202dc4ec49eaa,2
yl1152_1_347_d7556fe6670a88b1c680c5e92ceebb98,2
yl1152_1_359_21a1bb260c61a1299a305a993b96722c,2
yl1152_1_359_d6d64977690ed7750a45df83b2f9dcfb,2
yl1152_1_360_f6c2262539771d67bba0da87e2cced5d,2
yl1152_1_377_d9ddcea99cb2633ba7e591bdba3e9eb8,2
yl1152_1_380_e8f5c471d2599809e92c1bef845b7e16,2
yl1152_1_388_93e65988acc1065de91bd4820945c540,2
yl1152_1_398_afa9155fc77c4f4d1af558e2f19954d4,2
yl1152_1_405_642932f7579c25493f08c69b44cfb32d,2
yl1152_1_405_948db759080ad9feb34cd4ab8fcb2092,2
yl1152_1_588_bfb51e4a19481e5d0bcabe16463cfd1d,2
yl1152_1_202_84583cb6db40542205f57064d787f69d,1
yl1152_1_202_96d758e9bee0784689bed8bd74512c26,1
yl1152_1_202_d3d42adf1a0e9fc4e3be6143ec8a261d,1
yl1152_1_217_09b4a9511e65ac3555f30d18ce8c82a0,1
yl1152_1_217_1a600eedc3c8ee2748b6b6250a12553c,1
yl1152_1_218_187f7bb1ddfa39c9c4556282f51e2513,1
yl1152_1_218_2ee97ffbf53089b86214aad2a2b4fb93,1
yl1152_1_218_3bd8efac26629cea9b2b3400247174e5,1
yl1152_1_231_03bf704ba069d428d5ad43e91d96dee5,1
yl1152_1_231_dc57002fbfcf97fe4473fa478a3ce08c,1
yl1152_1_234_28754a11898b56a231c434819c505665,1
yl1152_1_234_342639611f4e17ca27568e60879aabe9,1
yl1152_1_234_6ace49ba7e57bccf7ea34dbb66dbc567,1
yl1152_1_234_8144c27e19822fa2f50561ea58da7921,1
yl1152_1_234_bc153fd8b7dc88b75013e6eaeba6c24d,1
yl1152_1_235_0735fe6b0a07ca175d5d0f61f0f7d258,1
yl1152_1_235_bffa487cad03ce71b7f500e05eba92d6,1
yl1152_1_235_ee0c99cd83efdc04ce1c2bf10219bc41,1
yl1152_1_238_d135d5ab4ce18bb271c660b76468240a,1
yl1152_1_238_e54dd4274d565e0b5a5ab6ab6caa8961,1
yl1152_1_243_5e379e70eba7c72ed969172a1c007139,1
yl1152_1_247_257cedc7ea621df6b1a92209f3586e73,1
yl1152_1_247_2bc220892bff1c1d1b53f8e84226a60c,1
yl1152_1_248_10ba58b2cc67001c06a36792440f7b40,1
yl1152_1_248_11d7b21dccfbddc6279d7df6851f8d45,1
yl1152_1_248_64e1d15ce4f0d47ed3910793fc738e03,1
yl1152_1_248_6fa205583807384d52039e6bfd5f346f,1
yl1152_1_248_bc4cc91250edd64b572459cf67b9b11f,1
yl1152_1_248_be4e52468c67898048181a195de1edb4,1
yl1152_1_249_7ea18c1c3ba694c7a4baa2643b775976,1
yl1152_1_249_f4d569962647ab26dc103a5b657741a3,1
yl1152_1_252_18d161b493a2d72fc464053de87f7f89,1
yl1152_1_252_681361dffccb30ff9ac5d72a1e650495,1
yl1152_1_252_6f474928cc642182f9b677c5521549d2,1
yl1152_1_252_bc97d0f168f0387a194aaa26847f6254,1
yl1152_1_253_c7e7a34a348eb70022c364d29958c2fd,1
yl1152_1_255_b7bdb1298b32a917d9711fd16312645e,1
yl1152_1_256_02c96e0a7f94b3e3f536941c52f48124,1
yl1152_1_256_0ffde8934f145048a193103eaed96902,1
yl1152_1_256_d3edc1d334f1fecf2ae44c715131e2ab,1
yl1152_1_258_16c68310f88b2b4aaa44c5b23a838f3a,1
yl1152_1_258_28e89928475b98dcb2e206cbac1041af,1
yl1152_1_258_3defa23d7a271290cc9e39941df5202e,1
yl1152_1_258_4da63d2bc7de44ead719f2c2c4d1fee3,1
yl1152_1_258_d28ce86cfb0c9fd0272ea8b5e67a03dd,1
yl1152_1_258_eeca4d94060f79a87c9b642b4ccc1d57,1
