index,name,Complexity,Memetic Copy Number,Object Discovery Year
952,duoplet.rle,0.000350017500875,75.0,1969
1993,ttetromino.rle,12.99889994499725,64.0,1969
1656,rpentomino.rle,0.0103005150257512,273.0,1969
918,domino.rle,0.000350017500875,14.0,1969
1929,trafficlight.rle,15.000050002500124,248.0,1969
1204,loaf.rle,12.0,428.0,1969
624,block.rle,13.0,1140.0,1969
2795,dot.rle,1.0,181.0,1969
1540,prebeehive.rle,9.999849992499623,23.0,1969
1053,glider.rle,4.002750137506875,2699.0,1969
606,blinker.rle,6.000050002500124,392.0,1969
542,beehive.rle,13.0,544.0,1969
772,bulletheptomino.rle,9.001750087504375,14.0,1969
1500,preblock.rle,12.999849992499623,94.0,1969
3976,shorttable.rle,0.0013000650032501,11.0,1969
4301,lineofthree.rle,6.000050002500124,29.0,1969
3943,crotchet.rle,0.0016000800040002,18.0,1969
1998,tub.rle,10.0,444.0,1970
1613,queenbee.rle,22.034701735086752,117.0,1970
1975,tripole.rle,13.0,57.0,1970
1031,figureeight.rle,19.6248812440622,137.0,1970
1841,table.rle,0.0076003800190009,2000.0,1970
1230,longship.rle,13.0,95.0,1970
3978,twogun.rle,90.55602780139009,10.0,1970
1973,tumbler.rle,16.785689284464222,52.0,1970
1092,herschel.rle,6.020551027551377,472.0,1970
1802,snake.rle,7.0,511.0,1970
1505,piheptomino.rle,10.024151207560378,310.0,1970
534,biblock.rle,10.0,99.0,1970
1825,tail.rle,8.999849992499625,788.0,1970
1259,longboat.rle,13.0,229.0,1970
1514,pinwheel.rle,23.0,31.0,1970
3360,crinklyheptomino.rle,7.000550027501375,15.0,1970
3902,lineofsixspark.rle,0.008150407520376,19.0,1970
3575,transblockoncuphook.rle,20.33331666583329,31.0,1970
499,barge.rle,12.0,220.0,1970
821,clock.rle,13.0,111.0,1970
786,butterfly.rle,0.0264013200660033,50.0,1970
1122,grin.rle,7.0,37.0,1970
1313,mwss.rle,19.985949297464877,103.0,1970
1146,hertzoscillator.rle,27.25001250062503,14.0,1970
1086,gosperglidergun.rle,81.2913645682284,68.0,1970
752,bookend.rle,0.0192009600480024,322.0,1970
581,bheptomino.rle,5.008250412520626,215.0,1970
526,beacon.rle,6.500025001250062,320.0,1970
843,cheptomino.rle,13.00490024501225,15.0,1970
575,bipole.rle,17.0,129.0,1970
1592,quadpole.rle,14.0,57.0,1970
973,eheptomino.rle,14.022851142557128,20.0,1970
1815,stairstephexomino.rle,4.015900795039752,22.0,1970
2484,angel.rle,7.501825091254562,17.0,1970
1547,pulsar.rle,35.66638331916596,335.0,1970
552,blockade.rle,15.0,52.0,1970
0,,,,1970
0,,,,1970
2720,cavity.rle,0.0021501075053752,15.0,1970
280,fheptomino.rle,9.538876943847193,14.0,1970
836,century.rle,0.0197009850492524,118.0,1970
2166,zhexomino.rle,0.0255012750637531,23.0,1970
2203,bananaspark.rle,6.003750187509375,25.0,1970
1550,prepulsar.rle,34.65518275913796,139.0,1970
696,boat.rle,10.0,843.0,1970
775,bun.rle,10.002650132506623,232.0,1970
212,diagonalonoff.rle,0.000350017500875,18.0,1970
3927,phispark.rle,0.0057002850142507,24.0,1970
1470,pentadecathlon.rle,18.93309665483274,266.0,1970
1143,honeyfarm.rle,23.0,313.0,1970
373,aircraftcarrier.rle,10.0,115.0,1970
1902,toad.rle,8.99989999499975,174.0,1970
814,claw.rle,10.000150007500377,128.0,1970
1276,longsnake.rle,11.0,140.0,1970
1727,ship.rle,13.0,635.0,1970
0,,,,1970
1256,longbarge.rle,13.0,72.0,1970
1278,lwss.rle,5.0185009250462524,150.0,1970
1135,house.rle,39.19110955547777,155.0,1970
1949,transqueenbeeshuttle.rle,26.83289164458223,87.0,1970
1529,pond.rle,11.0,234.0,1970
2444,vspark.rle,0.000550027501375,24.0,1970
1165,hwss.rle,0.0254512725636281,90.0,1970
3002,7wss.rle,0.0182509125456272,28.0,1970
1813,squaredance.rle,0.0291514575728786,181.0,1971
1693,scrubber.rle,28.499974998749934,27.0,1971
1803,sparkcoil.rle,18.000050002500124,88.0,1971
809,cap.rle,0.0114005700285014,121.0,1971
1491,piship1.rle,69.78093904695234,5.0,1971
2066,washerwoman.rle,69.89039451972599,10.0,1971
1881,titanictoroidaltraveler.rle,185.5149257462873,13.0,1971
1609,quasar.rle,55.33291664583229,18.0,1971
803,candelabra.rle,24.0,15.0,1971
756,verylongsnake.rle,11.0,50.0,1971
918,domino.rle,0.000350017500875,14.0,1971
816,cauldron.rle,26.12505625281264,17.0,1971
1287,mango.rle,12.0,118.0,1971
403,almosymmetric.rle,21.0,13.0,1971
1553,pressurecooker.rle,26.66663333166658,14.0,1971
806,canoe.rle,15.0,111.0,1971
1865,switchengine.rle,7.026601330066503,180.0,1971
500,p60glidershuttle.rle,39.04885244262213,16.0,1971
1747,long3snake.rle,14.0,21.0,1971
1051,frenchkiss.rle,24.0,15.0,1971
1329,noahsark.rle,21.14550727536377,10.0,1971
1318,negentropy.rle,27.499974998749934,14.0,1971
1186,interchange.rle,20.99994999749988,59.0,1971
2442,twinbeesshuttlespark.rle,0.0190509525476273,8.0,1971
1097,graycounter.rle,23.25001250062503,20.0,1971
1338,octagon2.rle,16.999899994999748,30.0,1971
1907,transboatwithtail.rle,15.0,39.0,1971
2574,uturner.rle,4.018550927546377,49.0,1971
849,cisboatwithtail.rle,15.0,35.0,1971
1220,lightbulb.rle,21.99994999749988,14.0,1971
1493,piston.rle,21.0,24.0,1971
1988,tubwithtail.rle,15.0,100.0,1971
1151,hustler.rle,27.33331666583329,17.0,1971
1074,glidersbythedozen.rle,25.326266313315664,11.0,1971
1089,gliderproducingswitchengine.rle,112.07265363268164,50.0,1971
2496,blonktie.rle,6.025001250062503,26.0,1971
1098,hat.rle,12.0,127.0,1971
953,eater1.rle,10.0,292.0,1971
1572,puffer1.rle,44.13705685284264,34.0,1971
1812,spiral.rle,21.0,39.0,1971
2459,2glideroctomino.rle,0.0174508725436271,49.0,1971
945,doubleewe.rle,36.33331666583329,5.0,1971
1199,koksgalaxy.rle,32.49992499624981,36.0,1971
617,bigs.rle,19.0,36.0,1971
1177,integralsign.rle,14.0,49.0,1971
967,ecologist.rle,11.216460823041151,16.0,1971
2021,twoeaters.rle,16.999949997499876,30.0,1971
1559,quad.rle,21.0,71.0,1971
715,verylongboat.rle,17.0,45.0,1971
1720,shillelagh.rle,12.0,152.0,1971
1264,longcanoe.rle,13.0,53.0,1971
766,breeder1.rle,1255.9154457722886,15.0,1971
692,blocklayingswitchengine.rle,40.18220911045552,50.0,1971
2355,newgun.rle,93.7740887044352,10.0,1971
1528,phoenix1.rle,21.0,32.0,1971
2332,iheptomino.rle,9.008150407520375,36.0,1971
3170,3blocktwinbeesshuttle.rle,39.34966748337417,131.0,1971
234,3c10piwave.rle,57.06695334766738,7.0,1971
1854,thunderbird.rle,6.5359767988399415,24.0,1971
0,,,,1971
704,boatbit.rle,16.046102305115255,37.0,1971
1159,hookwithtail.rle,11.0,144.0,1971
3112,lightweightschickengine.rle,21.078853942697133,66.0,1972
20,bargesiameseloaf.rle,15.0,25.0,1972
86,twoglidermess.rle,93.28401420071005,4.0,1972
1791,snacker.rle,35.11110555527776,54.0,1972
1237,loop.rle,12.0,1317.0,1972
3223,transverylonghookwithtail.rle,13.0,13.0,1972
1349,multuminparvo.rle,31.7896394819741,11.0,1972
897,clawwithtail.rle,15.0,44.0,1972
645,bitingoffmorethantheycanchew.rle,22.66663333166658,9.0,1972
3882,xs10_31eg8o.rle,18.0,16.0,1972
1778,snakesiamesesnake.rle,11.0,20.0,1972
1273,longshillelagh.rle,12.0,54.0,1972
2313,fourskewedblocks.rle,25.0,10.0,1972
736,verylongshillelagh.rle,11.0,22.0,1972
1851,surprise.rle,30.33336666833341,15.0,1972
158,brokensnake.rle,13.0,27.0,1972
783,burloaferimeter.rle,24.428571428571427,31.0,1972
1934,transbargewithtail.rle,17.0,31.0,1972
813,carriersiamesecarrier.rle,12.0,21.0,1972
1234,longhookwithtail.rle,11.0,46.0,1972
746,boatwithlongtail.rle,12.0,32.0,1972
1240,longintegral.rle,13.0,45.0,1972
3229,tubwithnine.rle,18.0,26.0,1972
1042,germ.rle,29.66663333166658,7.0,1972
1795,sombreros.rle,35.83329166458323,17.0,1972
891,cisshillelagh.rle,15.0,35.0,1972
2260,rf28b.rle,22.0254012700635,28.0,1972
1467,pennylane.rle,29.75003750187509,6.0,1972
1055,frogii.rle,36.33326666333316,4.0,1972
760,boss.rle,34.499974998749934,12.0,1972
3230,tubwithverylongtail.rle,13.0,9.0,1972
665,blockontable.rle,11.0,40.0,1972
848,cisbargewithtail.rle,15.0,15.0,1972
3984,xs10_ggka23z1.rle,15.0,23.0,1972
1194,loadingdock.rle,19.66663333166658,8.0,1972
1558,protein.rle,34.66663333166658,8.0,1972
1012,enretard.rle,32.0,4.0,1972
1653,rats.rle,27.0,14.0,1972
1637,roteightor.rle,34.00010000500025,25.0,1972
2141,workerbee.rle,33.66663333166658,23.0,1972
742,boattie.rle,17.0,127.0,1972
2692,blockongriddle.rle,16.0,21.0,1972
2412,pyrotechnecium.rle,32.62498124906245,6.0,1972
1804,snakepit.rle,24.0,14.0,1972
1963,tubwithlongtail.rle,12.0,33.0,1972
2757,cisverylonghookwithtail.rle,14.0,15.0,1972
1714,long4snake.rle,14.0,14.0,1972
939,diamondring.rle,30.666683334166702,8.0,1972
78,123.rle,24.666683334166702,1103.0,1972
525,beehivewithtail.rle,16.0,38.0,1972
1291,mathematician.rle,32.20001000050002,44.0,1972
941,dinnertable.rle,33.08320416020801,21.0,1972
1767,snakedance.rle,29.666683334166702,6.0,1972
383,airforce.rle,34.14285714285714,15.0,1972
2698,boattielongboat.rle,15.0,16.0,1973
429,integralwithhookandtail.rle,16.0,5.0,1973
235,clawsiamesetubwithcape.rle,16.0,7.0,1973
701,transsnaketie.rle,12.0,13.0,1973
2494,blockoncap.rle,11.0,20.0,1973
255,carriersiamesehookwithtailtail.rle,19.0,8.0,1973
3987,xs12_g88a53z23.rle,16.0,6.0,1973
114,bargewithverylongtail.rle,19.0,5.0,1973
2756,cisverylonghookwithnine.rle,15.0,10.0,1973
2733,cisboattranslinetub.rle,15.0,9.0,1973
195,carriersiameseverylongsnake.rle,18.0,8.0,1973
375,fusewithtailandverylongtail.rle,20.0,5.0,1973
366,eatertailsiameselongsnake.rle,12.0,6.0,1973
3236,upsnakeontable.rle,12.0,7.0,1973
285,eaterheadsiameseeatertail.rle,12.0,23.0,1973
660,transcarrierdownontable.rle,17.0,2.0,1973
208,carrierbridgecarrier.rle,17.0,11.0,1973
40,beehiveatclaw.rle,15.0,8.0,1973
680,tubwithtwoupcistails.rle,16.0,8.0,1973
654,tubwithtailsiamesesnake.rle,15.0,5.0,1973
699,teardropwithclaw.rle,20.0,9.0,1973
853,cisfusewithtwotails.rle,18.0,22.0,1973
353,eaterwithheadfeather.rle,15.0,5.0,1973
364,downsnakeontable.rle,12.0,6.0,1973
3199,transboattranslinetub.rle,15.0,8.0,1973
724,tubbendlinetub.rle,15.0,6.0,1973
376,integralwithtubandtail.rle,15.0,6.0,1973
773,verylongclawwithtail.rle,12.0,6.0,1973
458,longtubclawwithtail.rle,17.0,4.0,1973
435,hookwithtailhooksiamesesnake.rle,11.0,6.0,1973
981,eaterplug.rle,14.499974998749938,16.0,1973
2759,clawwithboatwithtail.rle,16.0,7.0,1973
1300,mazing.rle,18.24991249562478,40.0,1973
643,transcarriertiesnake.rle,15.0,2.0,1973
1726,siesta.rle,37.3999199959998,10.0,1973
679,tubwithtwodowntranstails.rle,15.0,7.0,1973
676,transshipontable.rle,17.0,7.0,1973
233,cissnaketie.rle,9.0,11.0,1973
685,translongbargewithtail.rle,15.0,6.0,1973
2700,boattielongsnake.rle,15.0,8.0,1973
242,carrierbridgesnake.rle,14.0,2.0,1973
328,eaterheadsiameseeaterhead.rle,16.0,7.0,1973
674,teardropwithcape.rle,20.0,7.0,1973
1839,technician.rle,31.399969998499923,14.0,1973
667,transcarriertie.rle,17.0,11.0,1973
3985,xs12_0gjl8z56.rle,16.0,6.0,1973
223,carriersiameseshillelagh.rle,14.0,8.0,1973
495,beehiveatbeehive.rle,13.0,27.0,1973
290,egyptianwalk.rle,12.0,7.0,1973
668,tubwithtailwithcape.rle,19.0,6.0,1973
661,verylongprodigal.rle,14.0,6.0,1973
3220,transtubwithlong4tail.rle,17.0,9.0,1973
